date, hour, weather, temp, rainProb, rainMM, humid, windSpeed, windDir
2022-03-19,01,小雨,11.5,---,0,98,3,北北西
2022-03-19,02,小雨,11.0,---,0,92,3,北西
2022-03-19,03,曇り,11.0,---,0,74,4,北西
2022-03-19,04,晴れ,11.0,---,0,68,3,北北西
2022-03-19,05,晴れ,10.5,---,0,68,3,北西
2022-03-19,06,晴れ,10.5,---,0,66,5,北西
2022-03-19,07,晴れ,10.5,---,0,66,5,北西
2022-03-19,08,晴れ,11.5,---,0,64,4,西北西
2022-03-19,09,晴れ,13.0,0,0,58,6,北西
2022-03-19,10,晴れ,13.5,20,0,52,6,西北西
2022-03-19,11,晴れ,14.0,20,0,48,6,西北西
2022-03-19,12,晴れ,14.1,10,0,50,6,西北西
2022-03-19,13,晴れ,14.8,10,0,48,7,西北西
2022-03-19,14,曇り,13.6,20,0,50,7,西北西
2022-03-19,15,曇り,12.3,20,0,52,6,西北西
2022-03-19,16,曇り,10.5,20,0,54,6,北西
2022-03-19,17,曇り,9.1,20,0,58,6,北西
2022-03-19,18,曇り,9.0,10,0,58,5,北西
2022-03-19,19,晴れ,8.8,10,0,58,5,北西
2022-03-19,20,晴れ,8.4,10,0,60,4,北西
2022-03-19,21,晴れ,8.1,10,0,60,4,北西
2022-03-19,22,晴れ,7.8,10,0,62,4,北西
2022-03-19,23,晴れ,7.6,10,0,64,3,北西
2022-03-20,0,晴れ,7.4,10,0,66,3,北西
--,--,晴れ,--,--,--,(%),--,--
2022-03-20,01,晴れ,6.8,(%),0,--,3,unit>(m/s)</span></th>
2022-03-20,02,晴れ,6.6,0,0,68,3,北西
2022-03-20,03,晴れ,6.5,0,0,68,2,北西
2022-03-20,04,晴れ,6.3,0,0,68,3,北西
2022-03-20,05,晴れ,5.9,0,0,68,3,北北西
2022-03-20,06,晴れ,5.3,0,0,66,3,北北西
2022-03-20,07,晴れ,6.2,0,0,66,3,北北西
2022-03-20,08,晴れ,7.6,0,0,66,4,北西
2022-03-20,09,晴れ,8.8,0,0,58,4,北西
2022-03-20,10,晴れ,10.2,0,0,54,5,北西
2022-03-20,11,晴れ,11.2,0,0,46,5,北西
2022-03-20,12,晴れ,12.0,0,0,42,6,北西
2022-03-20,13,晴れ,12.7,0,0,38,6,北西
2022-03-20,14,晴れ,13.1,0,0,36,7,北西
2022-03-20,15,晴れ,12.6,0,0,36,6,北西
2022-03-20,16,晴れ,11.7,0,0,38,6,北西
2022-03-20,17,晴れ,10.5,0,0,40,5,北西
2022-03-20,18,晴れ,9.5,0,0,45,4,北西
2022-03-20,19,晴れ,8.9,0,0,50,4,北西
2022-03-20,20,晴れ,8.7,0,0,54,3,北西
2022-03-20,21,晴れ,8.1,0,0,56,2,北西
2022-03-20,22,晴れ,7.9,0,0,57,2,北西
2022-03-20,23,晴れ,7.4,0,0,60,2,西北西
2022-03-21,0,晴れ,6.9,0,0,61,2,西北西
